id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1170204846486389731,Thea Apartments New,1619493,Georgios,,Thessaloniki,40.64443,22.92324,Entire home/apt,60,14,0,,,9,230,0,12147687981
1170507080681374674,Κεντρικό & Άνετο Διαμέρισμα!,52271945,Thalia,,Thessaloniki,40.63297,22.95006,Entire home/apt,40,14,0,,,3,365,0,00002667624
1170724733188363891,Downtown Fragkon Strt Apt 31,581219436,Theofanis,,Thessaloniki,40.63688,22.93755,Entire home/apt,37,2,31,2024-12-09,4.65,2,244,31,00002655998
1170745529818605463,Downtown Fragkon Strt Apt 51,581219436,Theofanis,,Thessaloniki,40.63694,22.93845,Entire home/apt,36,2,29,2024-12-15,4.35,2,245,29,00002656002
1170752383609001594,"Armonia, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63426,22.95223,Entire home/apt,75,1,5,2024-10-21,1.13,284,190,5,00001234564
1170780388468042881,"Bonsai #2.3, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.64343,22.9351,Entire home/apt,66,1,19,2024-12-22,2.97,284,263,19,1794819
1170874774763021609,Της Σοφίας.,579921656,Χατζηπαναγιωτου,,Thessaloniki,40.64195,22.94927,Entire home/apt,,2,5,2024-12-01,1.09,1,0,5,00002651395
1170957188565369736,D1 Suite στα Λαδάδικα Θεσσαλονίκη,168317299,Δέσποινα,,Thessaloniki,40.6377898,22.936739,Entire home/apt,66,2,0,,,2,60,0,00002707332
1171127818499855934,"Luxury Downtown Apartment D2 ""Guya""",485800812,Kinfeel North,,Thessaloniki,40.6405205,22.9391217,Entire home/apt,190,2,24,2024-10-29,3.69,8,338,24,00002594739
1171503842577065173,Homey luxury apartment Gardenia,5704250,Mario,,Thessaloniki,40.61868140000001,22.9551467,Entire home/apt,,2,0,,,1,0,0,00002922112
1171537442793704072,"Fox Guesthouse
Στο κέντρο της Θεσσαλονίκης",546261577,Teo,,Thessaloniki,40.63486,22.95276,Entire home/apt,65,1,17,2024-11-28,4.68,1,343,17,00002861760
1171590575229217890,7pockethouse classic triple room,32028101,Sevenpocket,,Thessaloniki,40.64305,22.94671,Private room,42,1,12,2024-10-27,1.84,2,260,12,00002612760
1171592834275543213,Mary's  cozy apartment,56841223,Maria,,Thessaloniki,40.64018,22.94982,Entire home/apt,50,2,1,2024-07-25,0.19,1,76,1,00002691438
